scenario,team,site,nb_rescues
SCENARIO-1,TEAM-3,SITE-50,2.0
SCENARIO-2,TEAM-3,SITE-50,2.0
SCENARIO-3,TEAM-3,SITE-50,2.0
SCENARIO-4,TEAM-3,SITE-50,2.0
SCENARIO-5,TEAM-3,SITE-50,2.0
SCENARIO-6,TEAM-3,SITE-50,2.0
SCENARIO-7,TEAM-3,SITE-50,2.0
SCENARIO-8,TEAM-3,SITE-50,2.0
SCENARIO-9,TEAM-3,SITE-50,2.0
SCENARIO-10,TEAM-3,SITE-50,2.0
SCENARIO-11,TEAM-3,SITE-50,2.0
SCENARIO-12,TEAM-3,SITE-50,2.0
SCENARIO-13,TEAM-3,SITE-50,2.0
SCENARIO-14,TEAM-3,SITE-50,2.0
SCENARIO-15,TEAM-3,SITE-50,2.0
SCENARIO-16,TEAM-3,SITE-50,2.0
SCENARIO-17,TEAM-3,SITE-50,2.0
SCENARIO-18,TEAM-3,SITE-50,2.0
SCENARIO-19,TEAM-3,SITE-50,2.0
SCENARIO-20,TEAM-3,SITE-50,2.0
SCENARIO-21,TEAM-3,SITE-50,2.0
SCENARIO-22,TEAM-3,SITE-50,2.0
SCENARIO-23,TEAM-3,SITE-50,2.0
SCENARIO-24,TEAM-3,SITE-50,2.0
SCENARIO-25,TEAM-3,SITE-50,2.0
SCENARIO-26,TEAM-3,SITE-50,2.0
SCENARIO-27,TEAM-3,SITE-50,2.0
SCENARIO-28,TEAM-3,SITE-50,2.0
SCENARIO-29,TEAM-3,SITE-50,2.0
SCENARIO-30,TEAM-3,SITE-50,2.0
SCENARIO-31,TEAM-3,SITE-50,2.0
SCENARIO-32,TEAM-3,SITE-50,2.0
SCENARIO-33,TEAM-3,SITE-50,2.0
SCENARIO-34,TEAM-3,SITE-50,2.0
SCENARIO-35,TEAM-3,SITE-50,2.0
SCENARIO-36,TEAM-3,SITE-50,2.0
SCENARIO-37,TEAM-3,SITE-50,2.0
SCENARIO-38,TEAM-3,SITE-50,2.0
SCENARIO-39,TEAM-3,SITE-50,2.0
SCENARIO-40,TEAM-3,SITE-50,2.0
SCENARIO-41,TEAM-3,SITE-50,2.0
SCENARIO-42,TEAM-3,SITE-50,2.0
SCENARIO-43,TEAM-3,SITE-50,2.0
SCENARIO-44,TEAM-3,SITE-50,2.0
SCENARIO-45,TEAM-3,SITE-50,2.0
SCENARIO-46,TEAM-3,SITE-50,2.0
SCENARIO-47,TEAM-3,SITE-50,2.0
SCENARIO-48,TEAM-3,SITE-50,2.0
SCENARIO-49,TEAM-3,SITE-50,2.0
SCENARIO-50,TEAM-3,SITE-50,2.0
